feature,impute_mean_from_QEH,data_min,data_max,data_range,scale,min
radiomics_log-sigma-3-mm-3D_glrlm_GrayLevelNonUniformity,275.5177231259208,52.55062949283728,1557.7472336649666,1505.1966041721294,0.0006643650385791352,-0.03491280099036668
radiomics_original_gldm_GrayLevelNonUniformity,1313.25082525874,103.24570024570023,8565.38127090301,8462.13557065731,0.00011817347898177473,-0.012200903587943871
radiomics_wavelet-LHL_ngtdm_Strength,1.2178983531043783,0.2308699549710253,4.262948533631669,4.032078578660644,0.2480110395894554,-0.05725829754233474
dosiomics_original_shape_MeshVolume,18086.85463374663,3540.625,73467.13192439957,69926.50692439957,1.430072863615426e-05,-0.05063351732738367
dosiomics_wavelet-HLH_gldm_GrayLevelNonUniformity,160.2530153522091,13.93233082706767,4494.886366584512,4480.954035757444,0.00022316676136825483,-0.003109233148987791
dosiomics_wavelet-LLH_gldm_GrayLevelNonUniformity,114.09040184419406,11.31081081081081,1694.539800285307,1683.228989474496,0.0005940962318574372,-0.006719710081955067
dosiomics_wavelet-HLL_ngtdm_Coarseness,0.011340147217041959,0.0009739928080155,0.0479172957405545,0.046943302932539,21.30229313938719,-0.020748280312001047
Age,56.207420147420144,12.28,92.42,80.14,0.012478163214374845,-0.1532318442725231
N-stage,1.6879606879606879,0.0,3.0,3.0,0.3333333333333333,0.0
Thyroid Dmean (Gy),54.108108108108105,0.2,72.9,72.7,0.013755158184319119,-0.002751031636863824
